Feature,Mean_Abs_SHAP
cat__NAME_INCOME_TYPE_Unemployed,0.0
cat__NAME_INCOME_TYPE_Businessman,0.0
cat__NAME_TYPE_SUITE_None,0.0
cat__NAME_INCOME_TYPE_Maternity leave,0.0
cat__NAME_INCOME_TYPE_Student,0.0
cat__OCCUPATION_TYPE_Secretaries,0.0
cat__ORGANIZATION_TYPE_Industry: type 7,0.0
cat__ORGANIZATION_TYPE_Industry: type 6,0.0
cat__ORGANIZATION_TYPE_Industry: type 5,0.0
cat__ORGANIZATION_TYPE_Industry: type 8,0.0
cat__ORGANIZATION_TYPE_Industry: type 2,0.0
cat__ORGANIZATION_TYPE_Industry: type 13,0.0
cat__ORGANIZATION_TYPE_Industry: type 12,0.0
cat__ORGANIZATION_TYPE_Emergency,0.0
cat__ORGANIZATION_TYPE_Industry: type 11,0.0
cat__ORGANIZATION_TYPE_Industry: type 10,0.0
cat__ORGANIZATION_TYPE_Housing,0.0
cat__ORGANIZATION_TYPE_Hotel,0.0
cat__ORGANIZATION_TYPE_Cleaning,0.0
cat__ORGANIZATION_TYPE_Culture,0.0
cat__ORGANIZATION_TYPE_Electricity,0.0
cat__ORGANIZATION_TYPE_Advertising,0.0
cat__WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0
cat__OCCUPATION_TYPE_Waiters/barmen staff,0.0
cat__ORGANIZATION_TYPE_Business Entity Type 1,0.0
cat__ORGANIZATION_TYPE_Industry: type 4,0.0
num__REG_REGION_NOT_LIVE_REGION,0.0
cat__ORGANIZATION_TYPE_Insurance,0.0
cat__EMERGENCYSTATE_MODE_Yes,0.0
cat__ORGANIZATION_TYPE_Transport: type 2,0.0
cat__ORGANIZATION_TYPE_Transport: type 1,0.0
cat__ORGANIZATION_TYPE_Legal Services,0.0
cat__ORGANIZATION_TYPE_Mobile,0.0
cat__ORGANIZATION_TYPE_XNA,0.0
cat__ORGANIZATION_TYPE_Transport: type 4,0.0
cat__FONDKAPREMONT_MODE_org spec account,0.0
cat__FONDKAPREMONT_MODE_not specified,0.0
